timestamp,nh_ch4_ems,sh_ch4_ems,nh_ch4c13_ems,sh_ch4c13_ems,nh_mcf_ems,sh_mcf_ems,nh_n2o_ems,sh_n2o_ems,nh_c2h6_ems,sh_c2h6_ems,nh_oh_ems,sh_oh_ems,nh_co_ems,sh_co_ems,tau_ems,kx_nh_ems,kx_sh_ems,nh_ch4_obs,sh_ch4_obs,nh_ch4_err_obs,sh_ch4_err_obs,nh_ch4c13_obs,sh_ch4c13_obs,nh_ch4c13_err_obs,sh_ch4c13_err_obs,nh_mcf_obs,sh_mcf_obs,nh_mcf_err_obs,sh_mcf_err_obs,nh_n2o_obs,sh_n2o_obs,nh_n2o_err_obs,sh_n2o_err_obs,nh_c2h6_obs,sh_c2h6_obs,nh_c2h6_err_obs,sh_c2h6_err_obs,nh_co_obs,sh_co_obs,nh_co_err_obs,sh_co_err_obs,nh_ch4_model,sh_ch4_model,nh_ch4c13_model,sh_ch4c13_model,nh_mcf_model,sh_mcf_model,nh_n2o_model,sh_n2o_model,nh_c2h6_model,sh_c2h6_model,nh_oh_model,sh_oh_model,nh_co_model,sh_co_model,nh_ch4_strat_model,sh_ch4_strat_model,nh_ch4c13_strat_model,sh_ch4c13_strat_model,nh_mcf_strat_model,sh_mcf_strat_model,nh_n2o_strat_model,sh_n2o_strat_model,nh_c2h6_strat_model,sh_c2h6_strat_model,nh_oh_strat_model,sh_oh_strat_model,nh_co_strat_model,sh_co_strat_model
1984,373.396264364159,132.947703531627,-51.1667629577758,-50.7690989821848,583.056333599266,1.26110809287095e-05,7.96975649286953,2.63832623237131,10402.9681501065,2602.96124750911,2757.19035170197,3007.86419113149,925.942951920587,69.028195312387,22.8581909065178,0.99,1.23,1698.32536884236,1595.29711670599,13.9305668624133,14.1148320736771,NaN,NaN,NaN,NaN,117.85,86.768,10,2.434,303.902261970899,303.973895833333,1.113,2.018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1698.0049836054,1595.26167859047,-94.546445041631,-70.585271418126,106.331858451963,86.1660343535353,303.96858021046,304.121000294757,1200,200,999999.998879668,999999.998521119,94.6867899206409,67.012756582949,1390.05576729275,1393.79436798912,-37.8512907491627,-40.2298946244901,30.0475097375485,20.0138743627598,286.105215888416,283.570119758669,300,100,999999.998903095,999999.998903096,70.0000492000003,50.0000139360499
1985,362.509864975655,109.023712203773,-50.3732338770872,-50.572897413304,591.966507562059,5.19174714510228e-05,6.36442801562483,1.30787385347627,10402.930156851,2599.98482659447,2648.97598869997,2433.60566711366,947.80222692664,71.5206288387511,22.6613987919131,0.99,1.23,1707.61649133628,1607.95943784046,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,123.275,89.619,10,2.434,305.451784391534,305.444229166667,1.046,2.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1708.11847210008,1606.58874708042,-78.0413195678037,-76.7047788915649,117.012091437103,90.134405994478,305.11436841337,304.40334199811,747.005760863714,291.509840151126,1043199.44170142,987214.402562724,117.864386000545,65.3797960783721,1491.39028581686,1464.9889863432,-56.1320513871307,-54.2946723615901,55.794230692825,45.5704454294751,290.818478940655,289.259670305012,25.9900856545745,10.5439955634265,37116.8616463367,35696.1400620377,4.11834621983059,2.34915418919453
1986,433.329977898558,125.253564935565,-50.0853538495527,-50.4461866659955,600.710636879935,1.77778415746392e-05,5.09636967378191,1.08361665133643,10400.1318365126,2600.0557301176,3356.39379948477,2999.20307711662,898.556619341302,67.6199805083716,22.4768544839087,0.99,1.23,1723.19114561456,1613.9638976209,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,118.508308333333,96.5053333333333,10,2.434,305.454783874459,304.767225925926,0.791,4.791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1722.84149988035,1615.88383352085,-72.2477038784851,-73.5090029693747,122.416932176337,95.7088103980923,305.632686489798,304.924069614272,603.814889829716,240.095998323212,1376197.84117348,1225946.01361098,104.165281051443,62.5805583719782,1557.33100122424,1520.05318416302,-63.1322451761559,-62.5181935657572,74.6346806797375,63.868031776733,294.249971575317,292.958860843059,21.7089906918811,9.08471009542356,48081.0828420923,43205.004375103,3.72750184153596,2.28262283232136
1987,371.60706770753,207.790128178836,-49.9712992969542,-50.1951241523925,621.67061374741,-6.40824793191692e-05,6.39563831975817,1.29741067683322,10400.1598458027,2599.85029760908,2689.05791388772,3656.02771658983,919.639874507371,67.0374857379497,22.8347165638036,0.99,1.23,1733.02723425204,1630.70690139174,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,133.91,96.3877833333334,10,2.434,306.497405032467,305.639488888889,1.576,4.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1733.52539592033,1628.51805844868,-68.4370951511273,-69.3676014784907,127.4908156506,97.3244473380059,306.28602000273,305.531708553125,701.21579126622,206.808483707312,1070590.17930397,1495112.53815969,113.939082973376,61.9375353597887,1601.52082124214,1559.63225221435,-65.7489529700988,-65.8178917280323,87.6723048539624,76.3989214830894,296.65361400145,295.454249516571,23.8890762661829,7.72370157938401,38890.7637900591,51722.5057763112,3.93284317660683,2.22244212523205
1988,420.210861482202,87.0693992501161,-49.684308232921,-50.3774228795439,663.703252848786,5.36188669105482e-05,6.27728685524868,1.32357298827191,10399.6565105735,2599.64368144293,3242.83904695314,2457.53883675298,894.697755726071,69.4542073288181,23.0975406325226,0.99,1.23,1747.58368242783,1640.85184251597,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,131.398946296296,103.677283333333,10,2.434,306.97424478022,306.354356481481,1.313,1.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1747.44664043169,1641.2509570554,-65.2843337486253,-66.3455028424923,132.967113417045,103.443907960352,307.115205696075,306.318479476948,624.743986213325,266.857430479312,1318978.02389026,997067.000323058,106.53511066694,64.8959858110969,1633.56213931256,1590.84818287697,-66.1528707851881,-66.4260645457244,97.4846892436702,85.4902429273857,298.436233975537,297.243981220873,21.7628684557531,9.38754885103631,45062.0796895262,36273.6523498108,3.70587044854437,2.28800878954344
1989,461.515633765232,165.793915178693,-49.2213077040891,-50.1110078876683,688.026735453671,-9.31105182412327e-06,7.01253887724901,1.10564549845624,10400.057919592,2600.4570417711,3855.89590114873,2972.21431704021,855.407979218711,60.7602280489461,22.5259280549726,0.99,1.23,1750.91055354914,1655.5042347297,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,134.341840740741,109.007316666667,10,2.434,308.068188754995,306.986644444444,0.79,1.753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1750.91537389483,1657.00022534787,-62.5264512311066,-63.6414110637562,136.183875955232,108.565548640736,308.032291301009,307.151394492992,516.170326637309,229.321200999019,1618603.29933992,1211976.89544002,96.3725845552452,62.6586722338864,1657.33049255653,1615.31191023638,-65.355506122539,-65.7887476131851,105.272923092837,93.6170695506861,299.91139536238,298.706832740666,18.4145069135395,8.55656197171564,56467.5651782705,42855.0235365528,3.42831495884845,2.26665153907814
1990,422.937512154476,182.425969367293,-48.6521976721208,-49.7403506118995,715.128663022893,-3.26678851619646e-05,7.0155327554549,1.09747546984311,10399.9618442739,2558.34206782876,3102.64618093479,3612.1297083588,782.180561917066,21.4756240988753,22.1273735600708,0.99,1.23,1764.78485504306,1664.33893250292,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,139.885746666667,108.529,10,2.434,309.064461692584,307.911044117647,1.22,1.474,NaN,NaN,NaN,NaN,99.71,59.53,6.84323157282983,4.24629721051177,1764.63213220877,1662.21921273838,-60.1428822920146,-60.9400063671554,140.90428376322,109.10158827824,308.98709150412,308.049901255714,600.632465869904,195.816389144362,1288391.33889763,1483789.63012798,99.839715728561,59.9523679172243,1676.16849259885,1635.47882358392,-63.8965727935682,-64.3427166300566,111.491869946805,99.483146604115,301.245933162867,300.012976265337,21.0887311884127,7.48466371456313,47739.9206133319,52936.328273379,3.56960540027165,2.2122506753592
1991,448.403762028399,106.091732730224,-48.3362316431794,-49.9559222464355,634.403835403301,2.01166956110429e-05,6.1575352348111,0.335332466284235,10398.846005443,2600.48010718989,3466.12127601921,2372.43700915263,840.561741628092,147.122674881972,21.7867691856473,0.99,1.23,1777.74382627544,1673.69094442952,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,143.128918518519,114.387166666667,4.662,2.434,310.019909762807,308.950358333333,1.185,1.436,NaN,NaN,NaN,NaN,100.57,69.96,6.84323157282983,4.24629721051177,1777.93581517921,1675.33336329543,-58.079956492821,-58.9102369360062,142.236159598196,114.0920181061,309.795542344195,308.858603211776,573.541527775914,266.686322631179,1432502.68761183,947087.937690132,100.818359831699,69.5640829786278,1693.8525156889,1650.69893318499,-62.1359740867772,-62.5500183501747,116.754983864577,104.202830126581,302.4553517596,301.206910293768,20.9495259178523,9.79074728687491,51973.1591016891,36727.9291336631,3.67917616160597,2.54637230138205
1992,407.781897751964,115.573309723938,-47.8329054894252,-50.0264191274602,594.001308667552,3.40893512381632e-05,4.9301489466001,-0.115252073512148,10397.8143700938,2598.31761586171,3068.48567847812,2771.07524935519,1083.14329488446,1.41887614644863,22.6421515607239,0.99,1.23,1794.59707319201,1688.29344625669,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,140.764695767196,2754.28415165631,4.75171979749703,1654.07790242708,310.377581477842,309.396231884058,0.988,0.982,NaN,NaN,NaN,NaN,119.92,63.8463976608187,6.84323157282983,4.24629721051177,1793.86780992168,1687.56041668249,-56.4547717175654,-57.212708166539,143.345802491699,117.149782782902,310.327991537753,309.464798336161,651.31874755074,259.737389501202,1196556.27050049,1122685.89933596,119.492735019878,64.1070203473356,1709.48973059708,1666.43259227245,-60.3660581660139,-60.7775127185324,120.099438721619,108.692149081544,303.423013464961,302.176354370325,22.5845256727684,9.62642657174952,43178.680005408,39559.1539622584,4.14652995158012,2.34645034435456
1993,327.299203695037,117.715616942852,-46.6906694394561,-49.6273418597822,385.986535168531,4.30570396028981e-05,4.48114817496671,0.132645669432831,10399.8654922935,2601.44374371507,2519.19520225568,2742.05476364256,761.2407150272,-133.566358339846,22.681383875744,0.99,1.23,1793.41117857324,1690.85726947188,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,139.918172688061,2241.90144662956,4.49764901231077,1434.8997303618,310.567130980097,310.229696666667,1.383,1.6,NaN,NaN,NaN,NaN,111.719375,54.314,6.84323157282983,4.24629721051177,1793.92466368617,1690.73090107327,-55.154704895632,-55.7026147034331,139.042648845394,116.519781978852,310.717528773593,309.962375506546,756.158883250592,265.805914053704,1006402.28187926,1142441.58593681,111.650523379658,55.2817813101852,1722.44792508021,1678.70027637956,-58.7418659702913,-59.0968215710295,122.056169372318,111.534040243916,304.153203547434,302.931600503634,26.1111908418982,9.78521467944977,36237.0683633074,40336.3702729517,3.95165658013323,2.03429850606439
1994,386.448614001719,135.916333094352,-43.9810964003593,-48.6250679185303,290.558513681887,2.89370257190162e-05,5.05664254438526,-0.340975914570356,10401.2435390831,2602.54938934247,2565.54870129933,2795.70819957277,868.916355123695,-198.382653852659,22.4470198924659,0.99,1.23,1803.76955810906,1695.3000834991,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,128.594437022133,2054.04578547619,2.9945183076182,1354.8466835244,311.189031566131,310.291030021645,1.109,1.525,NaN,NaN,NaN,NaN,115.376,50.2506322751322,4.29427246573852,3.49192843602446,1803.72120071129,1694.45068280018,-53.7060365720891,-54.2983182213699,128.262521217276,110.895055529443,311.185081234266,310.382769448644,766.970184896178,262.036880418177,1013086.93984472,1179886.08021136,115.259079334045,51.1778890686668,1730.62561320644,1687.04710119414,-57.2190994600384,-57.5287923933548,120.614285812742,111.805491068756,304.784851479658,303.580744173184,27.0069983858655,9.80728580109884,36379.752758399,41979.406767749,4.04847884049713,1.88968425725544
1995,398.204628483068,107.266406406733,-41.3046038110318,-48.0023883887385,241.888696941731,5.38404549890989e-05,5.11243811905935,-0.0924771999045964,10401.0256120185,2602.05832675929,2938.38679844638,2687.97605359296,818.685920255479,-144.47687159097,23.1120438320704,0.99,1.23,1817.32511079817,1702.97124180634,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,115.064109160613,2278.44249815789,2.72710094535109,1529.36585867332,311.783045452705,310.550965728716,1.416,2.586,NaN,NaN,NaN,NaN,107.991392045455,52.4176071428571,4.29427246573852,3.49192843602446,1817.23219822295,1703.26603653765,-52.0102756288189,-52.7998365556643,115.43310789309,102.619643865236,311.688724440301,310.849140056138,683.330747713992,260.692417375821,1185026.67808553,1126894.45917962,107.881917093417,53.111935371708,1741.53974159484,1695.85766476786,-55.6740184926023,-56.0126379719814,115.933785965225,108.98533088292,305.340328012014,304.12101791937,23.7503052758643,9.45607518451906,40820.6121940408,39473.8529799505,3.74360271302186,1.89247213734489
1996,363.793665432556,92.0230657364748,-39.0024184874773,-47.3372517744561,102.895885353534,7.68877608051553e-05,5.86850560800443,0.802262303326917,10400.1558637855,2600.11839230369,2389.54850666826,2547.44437921106,735.906198762397,-135.560230386274,22.267849279145,0.99,1.23,1822.85878547864,1705.78413360894,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,100.956926853667,2248.51760940594,1.31067178200354,1505.0087216271,312.003501143544,311.316434444444,1.48,1.697,NaN,NaN,NaN,NaN,110.1959,53.4748676190476,4.29427246573852,3.49192843602446,1822.6263556681,1705.09958725932,-50.4027966556182,-51.2661500099604,100.980828660494,92.9560364895741,312.319127484625,311.495664728801,783.074469662652,282.449777265339,957884.370167375,1064922.06160673,110.099990605423,54.0266437545877,1750.3993473087,1703.26884623665,-54.0852247592645,-54.4765683483373,108.652399141017,103.58619437097,305.903458779648,304.679794124029,27.3295667445109,10.4645374230097,35179.5420090131,38410.749609649,3.90053230280736,1.9863076951041
1997,359.59870613094,102.768088186251,-36.6387362667232,-45.4284656445488,48.6343018400348,7.18078066108333e-05,6.47450621225743,0.69726866631314,10399.4915797817,2601.48583789981,2535.55667620276,2645.25062756044,716.540038087972,-209.282677055633,23.8752781045668,0.99,1.23,1824.16208999293,1708.10634217138,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,85.7149948245207,2399.6788457483,1.366,1982.6356798467,313.256986573506,312.760495454546,0.821,9.582,NaN,NaN,NaN,NaN,107.0058,49.1060693277311,4.29427246573852,3.49192843602446,1824.34906365631,1708.39967693205,-48.8240628320089,-49.7105294611034,85.6907019390964,81.3430781283763,313.156280694656,312.277957021254,768.742995562034,276.20972660703,1026027.13046822,1119817.01282466,106.827534817743,50.0641329221181,1757.22068529414,1709.46612295454,-52.5416480234836,-52.9542364279272,99.3655677604024,96.1107410075118,306.483177273904,305.249842010223,25.8061981319485,9.81071145222744,34662.6950036378,37726.222978661,3.59042289879807,1.75558345120162
1998,385.988141503409,122.87165517512,-41.6748968761821,-40.6008939663825,31.891313781277,5.77297096655464e-05,5.60351948529714,1.12396688680552,10400.0001134144,2600.3250081771,2466.79128947225,2987.57038848676,854.116111178199,-122.134417456906,21.9082625360376,0.99,1.23,1833.18604846007,1709.26803165092,9.03010928499359,14.1148320736771,NaN,NaN,NaN,NaN,71.9658775188106,1907.05761655662,0.887,1462.32807051112,313.918512688942,313.096374053724,0.259,0.477,NaN,NaN,NaN,NaN,117.194942528736,54.8118970588235,4.29427246573852,3.49192843602446,1833.10506144802,1708.86785083912,-47.5848167089788,-48.1039174368927,71.9967665141502,68.7350344841602,313.918411232387,313.11557270079,789.903791616696,254.534300343324,966997.804387729,1242592.1460498,117.172729119754,55.4104690272572,1762.67078096248,1713.83824901757,-51.015335779194,-51.39452863506,88.7452497621679,86.6930390071006,307.175228180497,305.938108386345,28.183048940748,9.75242700079845,35592.0032831289,44689.1414191906,4.17259324737111,2.04764093560891
1999,386.210289591413,129.129395371046,-54.9945077856755,-42.4561735027978,27.5307807741369,7.48084997296021e-05,5.63322101739358,2.30898661346239,10400.6977265286,2564.64337091192,2711.65144608366,2780.17985886945,922.50941629249,-222.936875473418,22.9464254357784,0.99,1.23,1843.55872384325,1722.88278719157,9.03010928499359,14.1148320736771,-47.4527954545455,-47.1056053571429,0.114572764601495,0.0540258617669193,60.2500013591773,1843.37408942893,0.753,1490.80072374619,314.678359392234,314.061918233083,0.2,0.259757921502363,NaN,NaN,NaN,NaN,119.3111,50.5228086484594,4.29427246573852,3.49192843602446,1843.61005095564,1722.61516383239,-47.4768108511101,-47.1236849365198,60.3034104154624,57.9229584160571,314.68497949302,314.055253314249,749.113368597285,258.086245429785,1055527.36684125,1170329.75510121,119.264133435552,51.5499278781518,1770.52970766394,1719.72584315736,-49.7411077517678,-49.9180510792383,77.8546902427397,76.3974615591341,307.918871901095,306.720849625228,26.1013809094975,9.47888548387222,36960.9058888431,41229.3684699957,4.14136058997931,1.88380265344098
2000,378.193508009229,117.270860544208,-49.5402445690274,-53.8836447007045,24.1213223367705,9.39121349959943e-05,7.09043683731276,0.830514452785267,10400,2600.3238128301,2919.46083016311,2731.30483789266,719.016311908177,-191.921692760061,22.225106755665,0.99,1.23,1838.50700646216,1730.38653590852,9.03010928499359,14.1148320736771,-47.4074319727891,-47.1345398809524,0.0791142452686845,0.0540258617669193,50.0598658991392,1861.36318942744,1.119,1479.88432441058,315.719199639426,314.91377967033,0.271,0.237085035553964,NaN,NaN,NaN,NaN,103.327816091954,50.1448844537815,4.29427246573852,3.49192843602446,1838.37415414154,1729.93943554029,-47.4325202460413,-47.1540563511502,50.1545150455045,48.7856241744381,315.720927519987,314.905612198281,675.772403735664,254.993463313216,1193715.07965644,1151728.27795703,103.190811798224,50.9605139407211,1776.5131814561,1727.9761177447,-48.9363347614206,-48.8977931593676,67.4115239487492,66.4367733277046,308.716325976656,307.531700200187,24.2229938379658,9.56635493466244,42597.6416334114,41576.0318441796,3.72498139275913,1.88399775877865
2001,404.243392226677,145.779075147696,-53.190277620862,-48.8900345499051,15.8405992392838,1.48917366366252e-05,7.88105456305004,1.00870438535549,10365.6799735792,2564.94478949052,2519.48501922046,3196.43825760375,705.991481831382,-241.242002487381,24.5646284147203,0.99,1.23,1846.20454886689,1724.79377398255,9.03010928499359,14.1148320736771,-47.4248609068015,-47.0742733796296,0.0496060983828423,0.0540258617669193,41.7996160224696,1854.59392094671,0.354988897724343,1481.11464676039,316.86168747073,315.794812406015,0.2,0.243664829598195,NaN,NaN,NaN,NaN,105.6365,48.1607402597402,4.29427246573852,3.49192843602446,1846.54280362606,1724.89067206491,-47.4481489904516,-47.0946449910011,41.8341328136306,40.2465973622787,316.853553597266,315.823482860778,738.696806002702,228.893332559846,1023340.99580973,1354522.09604775,105.344096386432,49.394213313129,1778.96286621073,1732.24080475754,-48.3681899529265,-48.3010366638364,57.9694183071324,57.2737681193754,309.511049753465,308.254955778585,23.7743494285079,8.00626293799089,34525.5060668083,44032.6498323866,3.42378933441335,1.67828875759271
2002,359.490191344914,144.903881787121,-51.8687822514699,-53.4683629844203,12.6709159958707,2.85199419532378e-05,3.75388584657468,-0.859699947061628,10380.6534624104,2567.26970163635,2429.6926418463,3343.89422598552,623.667701183077,-192.515805423748,24.849186172856,0.99,1.23,1851.09115757315,1725.00470161752,8.46057827466882,14.1148320736771,-47.4828682861433,-47.1378995833333,0.0496060983828423,0.0423920668741027,34.7858274003208,27.8789927083333,0.266171925379902,4.99166522561252,317.419398219373,316.571741956783,0.2,0.236,NaN,NaN,NaN,NaN,102.9315,50.4436661255411,4.29427246573852,3.49192843602446,1850.69572671831,1723.85915174365,-47.5057152531658,-47.1601421542124,34.8512553048404,33.0517404924079,317.412585083607,316.527332385483,770.093643012781,223.230320602998,994355.451708336,1407610.61416217,102.73726511161,51.5005961673222,1783.48746226193,1734.61002985008,-48.0483683416006,-47.9312925642965,49.7473544190399,49.0582569123625,310.201393982379,308.910014731535,24.5581942184004,7.67550464668349,32660.5439089238,45272.4512799022,3.30906497324615,1.70663571622528
